x,PLAYER (TEAM),Value
275,Blake Grupe (NO - K),1
276,New York Giants (NYG - DST),
277,Detroit Lions (DET - DST),
278,Desmond Ridder (ATL - QB),
279,Wil Lutz (DEN - K),
280,Chris Boswell (PIT - K),
281,Jake Moody (SF - K),4
282,Khalil Shakir (BUF - WR),
283,Mac Jones (NE - QB),
284,Calvin Austin III (PIT - WR),
285,Mecole Hardman Jr. (NYJ - WR),
286,Deon Jackson (IND - RB),
287,Isaiah Spiller (LAC - RB),
288,Michael Carter (NYJ - RB),
289,Chase Edmonds (TB - RB),
290,Tennessee Titans (TEN - DST),
291,Josh Downs (IND - WR),
292,Isaiah McKenzie (IND - WR),
293,Matt Prater (ARI - K),
294,C.J. Stroud (HOU - QB),
295,Atlanta Falcons (ATL - DST),
296,Cairo Santos (CHI - K),
297,Minnesota Vikings (MIN - DST),
298,Eddy Pineiro (CAR - K),
299,Foster Moreau (NO - TE),
300,Eric Gray (NYG - RB),
301,Josh Reynolds (DET - WR),
302,D'Ernest Johnson (JAC - RB),
303,Brandon Aubrey (DAL - K),
304,Mack Hollins (ATL - WR),
305,Tutu Atwell (LAR - WR),
306,Joey Slye (WAS - K),
307,Greg Dortch (ARI - WR),
308,Chase McLaughlin (TB - K),
309,JaMycal Hasty (JAC - RB),
310,Dustin Hopkins (CLE - K),
311,Arizona Cardinals (ARI - DST),
312,Jordan Mason (SF - RB),
313,Colt McCoy (FA - QB),
314,Jacoby Brissett (WAS - QB),
315,Devin Duvernay (BAL - WR),
316,Marvin Jones Jr. (DET - WR),
317,Gardner Minshew II (IND - QB),
318,Will Levis (TEN - QB),
319,Kyle Trask (TB - QB),
320,Ka'imi Fairbairn (HOU - K),
321,Tyrion Davis-Price (SF - RB),
322,Chad Ryland (NE - K),
